price;volume;time
3664.95;3161063;2024-01-04 15:13:47
3664.95;3161063;2024-01-04 15:13:47
3664.85;3161827;2024-01-04 15:13:48
3666.25;3162213;2024-01-04 15:13:48
3665.35;3163514;2024-01-04 15:13:49
3665.1;3163514;2024-01-04 15:13:49
3665.55;3163816;2024-01-04 15:13:50
3666.2;3163816;2024-01-04 15:13:50
3666;3164251;2024-01-04 15:13:52
3665.3;3164251;2024-01-04 15:13:52
3665.55;3164759;2024-01-04 15:13:53
3665.9;3164759;2024-01-04 15:13:53
3665.9;3164943;2024-01-04 15:13:53
3665.55;3164943;2024-01-04 15:13:53
3665.55;3164988;2024-01-04 15:13:55
3665.65;3164988;2024-01-04 15:13:55
3665.05;3165278;2024-01-04 15:13:56
3665;3165278;2024-01-04 15:13:56
3664.55;3165425;2024-01-04 15:13:57
3664.4;3167372;2024-01-04 15:13:58
3664.35;3167372;2024-01-04 15:13:58
3664.35;3168254;2024-01-04 15:13:59
3665.05;3168254;2024-01-04 15:13:59
3665.05;3168854;2024-01-04 15:14:01
3664.55;3168854;2024-01-04 15:14:01
3665.1;3169078;2024-01-04 15:14:01
3665.45;3169078;2024-01-04 15:14:01
3665.35;3169608;2024-01-04 15:14:02
3665.35;3169608;2024-01-04 15:14:02
3665.2;3169903;2024-01-04 15:14:04
3665.05;3171236;2024-01-04 15:14:05
3665.4;3171236;2024-01-04 15:14:05
3665;3171455;2024-01-04 15:14:06
3664.3;3171455;2024-01-04 15:14:06
3664.6;3172058;2024-01-04 15:14:08
3664.6;3172058;2024-01-04 15:14:08
3665.3;3172710;2024-01-04 15:14:09
3665.3;3173338;2024-01-04 15:14:10
3665.45;3174594;2024-01-04 15:14:11
3665.45;3174594;2024-01-04 15:14:11
3664.75;3175441;2024-01-04 15:14:12
3664.7;3175441;2024-01-04 15:14:12
3664.75;3176186;2024-01-04 15:14:13
3664.7;3176186;2024-01-04 15:14:13
3664.7;3176616;2024-01-04 15:14:15
3664.7;3176616;2024-01-04 15:14:15
3664.65;3176844;2024-01-04 15:14:15
3665.4;3176844;2024-01-04 15:14:15
3665.45;3177331;2024-01-04 15:14:16
3665.45;3177331;2024-01-04 15:14:16
3664.85;3177760;2024-01-04 15:14:18
3664.8;3177760;2024-01-04 15:14:18
3664.75;3177847;2024-01-04 15:14:19
3665.25;3177847;2024-01-04 15:14:19
3664.65;3177938;2024-01-04 15:14:20
3664.6;3177938;2024-01-04 15:14:20
3665.1;3178172;2024-01-04 15:14:21
3665.55;3178843;2024-01-04 15:14:22
3666.8;3179426;2024-01-04 15:14:23
3665.8;3179691;2024-01-04 15:14:24
3665.15;3180753;2024-01-04 15:14:25
3665.8;3180989;2024-01-04 15:14:26
3665.8;3180989;2024-01-04 15:14:26
3665.8;3181886;2024-01-04 15:14:27
3665.15;3181886;2024-01-04 15:14:27
3665.55;3182911;2024-01-04 15:14:28
3665.55;3182911;2024-01-04 15:14:28
3665.7;3185034;2024-01-04 15:14:30
3665.55;3185034;2024-01-04 15:14:30
3665;3185177;2024-01-04 15:14:31
3665;3185397;2024-01-04 15:14:32
3665;3185397;2024-01-04 15:14:32
3664.95;3186136;2024-01-04 15:14:33
3665;3186136;2024-01-04 15:14:33
3664.95;3186505;2024-01-04 15:14:35
3665.05;3187114;2024-01-04 15:14:36
3665.7;3187550;2024-01-04 15:14:37
3666.75;3187991;2024-01-04 15:14:38
3666.65;3188263;2024-01-04 15:14:39
3665.95;3188263;2024-01-04 15:14:39
3665.95;3188439;2024-01-04 15:14:40
3665.9;3188439;2024-01-04 15:14:40
3666.55;3189108;2024-01-04 15:14:42
3665.95;3189108;2024-01-04 15:14:42
3665.9;3190213;2024-01-04 15:14:43
3665.7;3191087;2024-01-04 15:14:44
3665.3;3191087;2024-01-04 15:14:44
3665.3;3191493;2024-01-04 15:14:45
3665.3;3191493;2024-01-04 15:14:45
3665.65;3192239;2024-01-04 15:14:47
3664.8;3192239;2024-01-04 15:14:47
3664.3;3192977;2024-01-04 15:14:48
3664.95;3193326;2024-01-04 15:14:49
3664.85;3193326;2024-01-04 15:14:49
3664.75;3193435;2024-01-04 15:14:50
3664.75;3193435;2024-01-04 15:14:50
3664.75;3193537;2024-01-04 15:14:52
3664.95;3193537;2024-01-04 15:14:52
3664.2;3194317;2024-01-04 15:14:53
3664.65;3194511;2024-01-04 15:14:54
3664.55;3194511;2024-01-04 15:14:54
3664.55;3194812;2024-01-04 15:14:55
3664.15;3194812;2024-01-04 15:14:55
3664.5;3194969;2024-01-04 15:14:56
3664.15;3195846;2024-01-04 15:14:58
3664.6;3196145;2024-01-04 15:14:59
3664.5;3196145;2024-01-04 15:14:59
3664.5;3196394;2024-01-04 15:15:00
3664.5;3196394;2024-01-04 15:15:00
3664.5;3196608;2024-01-04 15:15:02
3664;3196608;2024-01-04 15:15:02
3666.25;3197456;2024-01-04 15:15:03
3664.6;3197581;2024-01-04 15:15:04
3664.6;3197674;2024-01-04 15:15:05
3664.6;3198039;2024-01-04 15:15:06
3664.9;3198064;2024-01-04 15:15:07
3664.5;3198762;2024-01-04 15:15:08
3664.95;3198888;2024-01-04 15:15:09
3664.65;3198918;2024-01-04 15:15:10
3664.65;3199340;2024-01-04 15:15:11
3664.6;3199571;2024-01-04 15:15:12
3664.65;3200242;2024-01-04 15:15:13
3665;3200450;2024-01-04 15:15:14
3665.8;3200595;2024-01-04 15:15:15
